country;capital;airport_code;dest_id_booking
Austria;Vienna;VIE;-1995499
Belgium;Brussels;BRU;-1955538
France;Paris;CDG;-1456928
Germany;Berlin;BER;-1746443
Greece;Athens;ATH;-814876
Ireland;Dublin;DUB;-1502554
Italy;Rome;FCO;-126693
Portugal;Lisbon;LIS;-2167973
Spain;Madrid;MAD;-390625
Turkey;Ankara;ESB;-735338
United Kingdom;London;LHR;-2601889
